0 0 B-LOC NN NNP
SYM NNP I-LOC NN NNP
NNP NN B-LOC NN NNP
NNP NN B-LOC NST NN
DEM RB B-NUM CL NN
NN NN B-MONEY QC QC
NN NN I-MONEY QC PSP
NN QC I-MONEY PSP VM
SYM NST B-LOC NN NNP
NNP NN B-LOC NN NN
NN NN B-MONEY NN VM
NN NN I-MONEY VM NN
VM NN B-NUM CL NN
NN NN B-PERSON NN NN
NN NN B-PERSON NNP VM
NN NNP I-PERSON VM SYM
VM SYM B-YEAR PSP PRP
VM NN B-PERSON DEM RB
VM UT B-PERSON PSP PRP
SYM CC B-PERSON PRP NN
RB VM B-PERSON PRP NN
VM CC B-PERSON NN VM
VM SYM B-PERSON JJ NN
NN VM B-PERSON DEM RB
NN CC B-PERSON NN VM
VM SYM B-PERSON NN NN
SYM PRP B-PERIOD NN NN
PRP QC I-PERIOD NN NNP
NN NN B-PERSON VM NN
NN SYM B-LOC NN NN
NNP NN B-DAY QC NN
NN NN B-PERIOD NN SYM
NN QC I-PERIOD SYM NNP
NN SYM B-LOC JJ RB
JJ RB B-PERSON NNP NNP
RB NNP I-PERSON NNP NN
NNP NNP I-PERSON NN QC
NNP NN B-PERIOD NN SYM
NN QC I-PERIOD SYM DEM
SYM DEM B-PERIOD NN QF
DEM QC I-PERIOD QF NN
PSP PRP B-LOC NN NN
NN NN B-LOC RB QO
NNP RB B-NUM NN VM
VM SYM B-PERIOD NN NN
SYM QC I-PERIOD NN NNP
NN NN B-PERSON JJ QC
NNP JJ B-NUM NN VM
NN UT B-NUM NN NN
NN SYM B-LOC NNP PSP
SYM NNP I-LOC PSP QC
NNP PSP B-NUM NN NN
NN SYM B-DAY NNP PSP
SYM NN B-LOC PSP VM
RB VM B-ORG JJ NN
NN VM B-LOC NN NN
NN NN B-PERSON NNP NNP
NN NNP I-PERSON NNP VM
NNP NNP B-LOC VM SYM
NN NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NN
NN RP B-PERSON NNP SYM
RP NNP I-PERSON SYM NNP
NNP SYM B-PERSON NNP PSP
SYM NNP I-PERSON PSP NN
SYM NN B-NUM QC NN
NN QC I-NUM NN NN
VM SYM B-NUM VM NN
NN SYM B-NUM NN NN
NN NN B-NUM CL NN
NN NN B-NUM NN SYM
NN SYM B-LOC NNP NN
SYM NNP I-LOC NN NN
VM SYM B-LOC NN NN
NN NN B-NUM NN RB
RB SYM B-LOC NN NNP
NNP NN B-LOC PSP NN
SYM SYM B-LOC NNP PSP
SYM NNP B-LOC PSP NN
VM NN B-PERSON NNP SYM
NN NNP I-PERSON SYM QC
NNP SYM B-NUM SYM NN
VM SYM B-LOC NN NNP
NNP NN B-LOC NN VM
NN VM B-PERSON NNP SYM
VM NNP I-PERSON SYM QC
NNP SYM B-NUM SYM NN
NN NN B-LOC NN NN
NNP NN B-DAY NN VM
VM SYM B-LOC NN NNP
NNP NN B-LOC NN NNP
NNP NN B-LOC NN VM
NN NN B-PERSON NNP SYM
NN NNP I-PERSON SYM QC
NNP SYM B-NUM SYM NN
VM SYM B-LOC PSP NN
NNP NN B-PERSON SYM NNP
NNP SYM B-LOC JJ NN
INTF JJ B-PERSON VM SYM
VM SYM B-NUM NN PSP
NN PSP B-PERSON NN NNP
NNP NN B-LOC NNP PSP
NN NNP B-LOC PSP VM
VM SYM B-LOC NNP RB
SYM NNP I-LOC RB NN
NNP RB B-DATE QC NN
RB NN I-DATE NN JJ
PSP NST B-PERSON NNP VM
NST NNP B-LOC VM VM
DEM RB B-DAY NN VM
NN VM B-YEAR PSP NNP
QC PSP B-LOC SYM NNP
NNP SYM B-LOC NN RB
SYM CC B-LOC SYM NNP
NNP SYM B-LOC NN PRP
VM SYM B-NUM NN VM
SYM NN B-LOC VM VM
VM VM B-LOC NN WQ
VM SYM B-ORG NN VM
SYM NNP I-ORG VM NN
NN VM B-LOC NN NN
VM SYM B-ORG NN NN
SYM NNP I-ORG NN NN
NN NN B-LOC NN VM
NN VM B-LOC NN VM
VM SYM B-LOC NST JJ
VM NN B-ORG NN NN
NN NN B-LOC NN VM
VM VM B-LOC NN NN
VM SYM B-LOC PSP NN
NN VM B-LOC PSP NNP
NNP PSP B-LOC PSP VM
JJ NN B-ORG NN JJ
NN NNP I-ORG JJ NN
SYM CC B-ORG NN NN
CC NNP I-ORG NN VM
VM NN B-LOC PSP VM
JJ NN B-LOC NN NST
SYM PSP B-ORG NN NN
VM SYM B-LOC PSP NN
PSP NN B-NUM NNP NN
NN QC B-ORG NN JJ
QC NNP I-ORG JJ NN
NN VM B-MONEY QC QC
VM QC I-MONEY QC NN
QC QC I-MONEY NN NN
QC QC I-MONEY NN VM
NN VM B-ORG NN NN
VM NNP I-ORG NN JJ
NNP NN I-ORG JJ NN
NN SYM B-ORG NN JJ
SYM NNP I-ORG JJ NN
NN JJ B-PERIOD NNP NN
NNP NN B-MONEY QC NNP
NN QC I-MONEY NNP NN
QC QC B-ORG NN SYM
NN SYM B-MONEY QC QC
SYM NN I-MONEY QC SYM
NN QC I-MONEY SYM VM
VM NN B-LOC PSP VM
VM SYM B-ORG NN NN
SYM NNP I-ORG NN NN
NN NN B-MONEY QC NN
NN QC I-MONEY NN VM
QC QC I-MONEY VM NN
NN VM B-ORG NNP NN
VM NNP I-ORG NN VM
NN VM B-LOC NN NNP
NNP NN B-LOC NN NN
SYM CC B-ORG NNP NN
CC NNP I-ORG NN NN
NN VM B-LOC NN PSP
NN VM B-PERSON NNP NN
VM NNP I-PERSON NN VM
NN NN B-PERSON VM SYM
SYM NN B-LOC NN JJ
NN NN B-PERSON NNP VM
NN NNP I-PERSON VM SYM
VM SYM B-LOC NN VM
VM NN B-ORG NNP NN
NN NNP I-ORG NN NN
VM SYM B-LOC PSP RB
NN VM B-PERSON VM SYM
VM SYM B-LOC NN NN
VM NN B-ORG NN SYM
NN NN B-PERSON NNP VM
NN NNP I-PERSON VM SYM
VM SYM B-LOC NN NN
NN NN B-LOC NNP NN
NN NNP I-LOC NN NN
VM SYM B-PERIOD NN VM
VM SYM B-LOC SYM NNP
NNP SYM B-LOC NN NN
PRP NN B-LOC NN NN
VM NN B-MONEY QC QC
NN NN I-MONEY QC PSP
NN QC I-MONEY PSP NN
VM SYM B-LOC NNP NNP
SYM NNP I-LOC NNP NNP
NNP NNP I-LOC NNP NNP
NNP NNP I-LOC NNP NNP
NNP NNP I-LOC NNP NN
NNP NNP B-LOC NN VM
NN VM B-LOC NN NN
VM SYM B-MONEY QC QC
SYM NN I-MONEY QC NN
NN QC I-MONEY NN VM
NN PSP B-NUM CL NN
NN PSP B-ORG NN NN
PSP NNP I-ORG NN PSP
NNP NN I-ORG PSP NN
NN VM B-LOC VM SYM
VM SYM B-PERIOD QC QC
SYM NN B-MONEY QC QC
NN QC I-MONEY QC PSP
QC QC I-MONEY PSP NN
QC PSP B-ORG NN NN
PSP NN I-ORG NN VM
SYM RB B-NUM QC CL
RB QC I-NUM CL SYM
SYM RB B-NUM QC CL
RB QC I-NUM CL NN
NN VM B-ORG NN NN
VM NNP I-ORG NN NN
NNP NN I-ORG NN SYM
NN NN I-ORG SYM NNP
NN SYM B-PERSON NNP SYM
SYM NNP I-PERSON SYM NN
VM SYM B-NUM QC NN
SYM QC I-NUM NN NN
NN NN B-LOC RB PRP
NN NNP I-LOC PRP NN
VM SYM B-ORG NN NN
SYM NN I-ORG NN NN
NN SYM B-LOC JJ NN
NN NN B-NUM NN QC
QC NN B-NUM NN SYM
NN NN B-NUM NN QC
QC NN B-NUM NN SYM
NN NN B-NUM NN NN
SYM NST B-NUM QC NN
NST QC I-NUM NN RB
SYM DEM B-PERIOD QF QC
NN QF B-NUM QC NN
QF QC I-NUM NN VM
VM SYM B-LOC NNP SYM
SYM NNP I-LOC SYM NNP
NNP SYM B-LOC NNP NN
SYM NNP I-LOC NN NN
NN NN B-ORG NN NN
NN NN I-ORG NN NN
NN NN I-ORG NN NN
VM VM B-LOC NN NNP
NNP NN B-PERSON NNP NNP
NN NNP I-PERSON NNP SYM
NNP NNP I-PERSON SYM RB
NN NN B-DATE NN NN
SYM NN B-PERSON NN NN
NN NNP B-DAY NN QC
NN NN B-TIME NN NN
NN QC I-TIME NN NNP
NN NN B-LOC NN NN
VM SYM B-DATE QC NN
SYM NN I-DATE NN RB
NN VM B-PERSON SYM NST
SYM NST B-LOC NST PRP
VM SYM B-DAY NNP NN
SYM NN B-LOC NN NN
VM SYM B-PERIOD NN NST
SYM QC I-PERIOD NST NN
VM SYM B-ORG NN NN
SYM NN I-ORG NN NN
NN NN I-ORG NN NNP
NN NN B-PERSON PRP DEM
NN NNP I-PERSON DEM NN
SYM VM B-PERIOD NN NN
NN NN B-YEAR PSP NNP
NN PSP B-PERSON NN VM
PRP SYM B-LOC NN NN
NN VM B-PERSON VM SYM
VM QF B-ORG NN NN
QF NN I-ORG NN NN
NN NN B-ORG NN NN
NN NN I-ORG NN NN
SYM RB B-ORG NN NN
RB VM B-ORG NN NN
VM NN I-ORG NN NN
NN NN I-ORG NN NN
NN NN I-ORG NN NN
NN VM B-LOC NN NNP
NNP NN B-PERSON VM SYM
PRP NN B-PERSON VM SYM
NN VM B-LOC NN NN
NN NN B-PERSON NN NN
SYM NN B-LOC NNP NN
NN NNP B-ORG NN NNP
NNP NN B-ORG SYM NNP
NNP SYM B-ORG PSP NNP
NNP PSP B-PERSON NN NN
RB NN B-LOC NST VM
NST VM B-ORG NN NNP
NNP NN B-PERSON NN VM
VM SYM B-ORG NN NN
SYM NN I-ORG NN NN
NN VM B-ORG NN NN
NN NN B-PERSON NNP VM
NN NNP I-PERSON VM SYM
NN SYM B-PERSON NN NN
NN VM B-ORG NN NN
VM NN I-ORG NN NNP
NN NN B-PERSON NNP VM
NN NNP I-PERSON VM SYM
NST RB B-LOC VM NNP
NNP VM B-PERSON NNP NNP
VM NNP B-ORG NNP NN
NNP NNP I-ORG NN JJ
NNP NNP I-ORG JJ NN
VM SYM B-PERIOD NNP VM
SYM NN B-ORG VM NN
VM NN B-ORG NN VM
VM VM B-PERSON VM SYM
SYM JJ B-PERIOD NN NN
JJ QC I-PERIOD NN NNP
NN NN B-ORG NN NNP
NNP NN B-ORG NN NN
VM SYM B-PERIOD RB VM
SYM QC I-PERIOD VM NN
VM SYM B-LOC NN VM
VM SYM B-LOC NST QO
NNP NST B-NUM NN NN
NN QF B-TIME NN NNP
QF QC I-TIME NNP JJ
QC NN B-LOC JJ NN
SYM NN B-TIME RB NNP
NN QC I-TIME NNP SYM
QC RB B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC NN NN
VM SYM B-LOC RB VM
SYM NST B-LOC NN NN
VM SYM B-LOC NST NNP
NNP NST B-LOC NN VM
VM SYM B-DAY NN NN
NN NN B-NUM NN VM
NN NN B-NUM NN NN
SYM NST B-LOC NN NN
VM SYM B-LOC NNP NN
SYM NNP B-LOC NN NN
NN NN B-NUM QC NN
NN QC I-NUM NN VM
VM SYM B-LOC NNP SYM
SYM NNP B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC NN NN
VM SYM B-LOC NN NN
NN NN B-LOC NN NN
VM NN B-NUM QC NN
NN QC I-NUM NN VM
SYM NST B-NUM NN VM
VM SYM B-LOC NN PSP
NN NN B-NUM NN VM
SYM NST B-NUM NN VM
VM SYM B-NUM QC NN
SYM QC I-NUM NN NN
VM SYM B-LOC NN PSP
VM SYM B-LOC NN RB
VM SYM B-NUM NN VM
NN VM B-NUM QC NN
VM QC I-NUM NN NN
VM NN B-LOC NNP QC
NN NNP I-LOC QC QC
NNP NNP B-NUM QC NN
NNP QC I-NUM NN VM
PRP NN B-LOC PSP RB
SYM PRP B-NUM NN NN
VM SYM B-LOC NN NNP
NNP NN B-LOC NN NN
NN VM B-NUM CL NN
VM SYM B-LOC PSP PSP
PSP PSP B-NUM NN NN
VM SYM B-LOC NNP QC
SYM NNP I-LOC QC NN
NNP NNP B-NUM NN SYM
NN SYM B-LOC NN QC
NNP NN B-NUM NN NN
VM NN B-LOC NN NN
VM NN B-NUM NN VM
VM SYM B-NUM NN VM
SYM NN B-NUM NN NN
VM SYM B-LOC NST JJ
VM SYM B-LOC RB VM
VM NN B-LOC NNP SYM
NN NNP B-LOC SYM NNP
NNP SYM B-LOC SYM NN
VM SYM B-LOC NN NN
NN VM B-LOC VM PSP
PSP NN B-NUM NN VM
NN VM B-NUM QC NN
VM QC I-NUM NN NN
RB NN B-NUM NN NN
VM SYM B-LOC NN PSP
VM SYM B-LOC NN VM
VM SYM B-LOC NN NN
RB VM B-LOC NN NN
VM NN B-LOC NN NN
PRP NST B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC NN NN
VM SYM B-LOC QC QC
SYM NNP B-NUM QC NN
NNP QC I-NUM NN VM
VM SYM B-LOC QC QC
SYM NNP B-NUM QC NN
NNP QC I-NUM NN NN
VM SYM B-LOC VM QC
NNP VM B-NUM QC NN
VM QC I-NUM NN NN
NN PSP B-NUM QC NN
PSP QC I-NUM NN NN
NN NN B-LOC NN RB
NN NN B-NUM NN CC
CC SYM B-DAY NST QC
NN NST B-NUM NN VM
NN NN B-NUM NN RP
NN RP B-NUM NN NN
SYM NN B-NUM QC NN
NN QC I-NUM NN NN
VM NST B-NUM NN NN
SYM NN B-LOC NNP NST
NN NNP I-LOC NST QC
NNP NST B-NUM NN NN
VM SYM B-ORG NN NN
SYM NNP I-ORG NN NNP
NNP NN I-ORG NNP NN
NN NN B-LOC NN NN
VM NN B-LOC PSP NN
NN NST B-LOC RB NN
VM SYM B-LOC NST QC
NNP NST B-NUM JJ NN
JJ NN B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC NNP NNP
SYM NNP I-LOC NNP NN
NNP NNP B-LOC NN NN
VM SYM B-LOC NN NN
NN VM B-NUM NN DEM
VM SYM B-LOC NN NN
NN VM B-LOC NN NN
NN NN B-ORG NN NN
NN NN I-ORG NN NNP
NN NN I-ORG NNP NNP
NN NN B-PERSON NNP VM
NN NNP I-PERSON VM SYM
VM SYM B-LOC VM VM
NN PSP B-LOC NN VM
VM SYM B-LOC NN NN
NN SYM B-ORG NN NN
SYM NN I-ORG NN NN
NN NN I-ORG NN NN
NN NN I-ORG NN VM
PSP PRP B-ORG NN PSP
PRP NNP I-ORG PSP RB
VM NN B-LOC NN NN
NN NN B-LOC RB VM
VM SYM B-LOC NST JJ
NN NN B-LOC PSP VM
SYM NN B-ORG NN NN
NN NNP I-ORG NN SYM
NNP NN I-ORG SYM PRP
NN VM B-ORG NN NN
VM NNP I-ORG NN NN
NNP NN I-ORG NN PSP
NN NN I-ORG PSP NN
VM SYM B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC PSP VM
PSP VM B-LOC VM NNP
NNP VM B-LOC SYM NNP
NNP SYM B-LOC NN RB
NN VM B-LOC NN SYM
NN SYM B-YEAR QC NST
SYM QC B-YEAR NST NNP
QC NST B-LOC NNP NN
NST NNP B-LOC NN QC
NNP NN B-NUM NN NN
NN NN B-NUM VM SYM
SYM NN B-NUM NN NN
NN NN B-NUM NNP NN
NN QC B-ORG NN NN
QC NNP I-ORG NN NN
NNP NN I-ORG NN VM
NNP NN B-LOC NN NN
VM SYM B-MONEY NN VM
SYM QC I-MONEY VM QC
NN VM B-PERIOD NN NN
VM QC I-PERIOD NN VM
VM SYM B-LOC NN NN
VM RB B-LOC VM NST
VM SYM B-LOC RB NN
NN VM B-ORG NN QF
VM NNP I-ORG QF JJ
VM SYM B-DATE QC NN
SYM NN I-DATE NN NN
NN PSP B-LOC NN NN
VM SYM B-LOC PSP NNP
NNP PSP B-LOC SYM NNP
NNP SYM B-LOC PSP NNP
NNP PSP B-LOC NN RB
PSP RB B-MONEY NN NN
RB QC I-MONEY NN NN
VM SYM B-LOC PSP QC
NNP PSP B-TIME NN VM
PSP QC I-TIME VM NN
NN NN B-TIME NN NNP
NN QC I-TIME NNP VM
QC NN B-LOC VM SYM
SYM NN B-TIME NN NNP
NN QC I-TIME NNP PSP
QC NN B-LOC PSP VM
VM NN B-TIME NN NNP
NN QC I-TIME NNP VM
QC NN B-LOC VM SYM
JJ RB B-LOC PRP NN
VM NN B-ORG NN NN
NN NNP I-ORG NN NN
NN NN B-PERSON NNP NNP
NN NNP I-PERSON NNP NN
NNP NNP I-PERSON NN NN
SYM NN B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC NN NN
VM SYM B-YEAR NST PRP
NN VM B-ORG NNP NN
VM NNP I-ORG NN NNP
NNP NN B-PERSON NNP VM
NN NNP I-PERSON VM SYM
NN PRP B-DAY VM SYM
RB VM B-LOC SYM NNP
NNP SYM B-LOC RP PRP
NN VM B-PERSON VM SYM
VM NN B-PERIOD QC RB
VM SYM B-LOC NN NN
NN NN B-PERSON NN PSP
NN PSP B-NUM PSP NN
NN VM B-PERSON SYM NNP
NNP SYM B-PERSON NN NN
NN NN B-PERSON QC UT
NN NNP B-NUM UT SYM
VM SYM B-PERIOD NN NN
SYM QC I-PERIOD NN NN
NN NST B-NUM UT NN
QF RB B-NUM PSP NN
NN VM B-PERSON WQ NN
NN NN B-PERSON NN NN
NNP NN B-NUM NN VM
NN VM B-PERSON NNP NNP
VM NNP B-PERSON NNP SYM
NNP NNP I-PERSON SYM NNP
NNP SYM B-PERSON NNP JJ
SYM NNP I-PERSON JJ NN
VM SYM B-NUM NN NN
NN NN B-PERSON SYM NNP
NNP SYM B-PERSON RP QC
NNP RP B-NUM NN NN
SYM NN B-PERIOD NN NN
PRP NN B-PERSON VM NNP
NNP VM B-LOC NN NN
NN SYM B-PERIOD RB NN
PSP VM B-LOC NN NN
NN NN B-PERSON NNP VM
NN NNP I-PERSON VM NNP
NNP VM B-LOC NN PSP
VM SYM B-PERIOD NN NNP
SYM QC I-PERIOD NNP PRP
QC NN B-PERSON PRP NN
NN PSP B-NUM NN VM
SYM NN B-NUM NNP QC
NN QC B-PERSON QC NN
QC NNP B-NUM NN PSP
NST VM B-PERSON NNP NN
VM NNP I-PERSON NN NN
NN NN B-PERSON NN WQ
VM SYM B-LOC SYM NNP
NNP SYM B-LOC NN NN
NN NN B-PERSON NNP NNP
NN NNP I-PERSON NNP NN
NNP NNP B-LOC NN NN
PSP RB B-PERIOD NN VM
RB QO I-PERIOD VM NN
NN SYM B-YEAR PSP SYM
VM SYM B-PERIOD NN NNP
SYM QC I-PERIOD NNP PSP
QC NN B-PERSON PSP PRP
PSP PRP B-NUM NN NN
DEM NN B-PERSON NNP NN
NN NNP I-PERSON NN SYM
NN SYM B-NUM NN SYM
SYM PSP B-PERSON NN VM
NN NN B-NUM NN NN
NN NN B-PERSON NNP NNP
NN NNP B-PERSON NNP SYM
NNP NNP I-PERSON SYM NNP
NNP SYM B-LOC SYM SYM
SYM SYM B-PERSON NNP SYM
SYM NNP I-PERSON SYM NNP
NNP SYM B-LOC SYM NN
SYM CC B-PERSON NN PSP
PSP PRP B-NUM NN NN
NN SYM B-PERIOD NN NN
SYM QC I-PERIOD NN NNP
NN NN B-PERSON QC PSP
NN NNP B-YEAR PSP NN
PSP NN B-LOC NN NN
DEM NN B-YEAR SYM QC
QC SYM B-YEAR SYM QC
QC SYM B-YEAR SYM QC
QC SYM B-YEAR PSP RB
NN NN B-PERSON QC NN
NN NNP B-NUM NN NN
NN PSP B-NUM NN VM
VM SYM B-DAY NN VM
NN NN B-PERSON QC SYM
NN NNP B-NUM SYM QC
QC SYM B-NUM PSP NN
NN NN B-NUM NN NNP
QO NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NNP
NNP SYM B-LOC SYM NST
DEM NN B-TIME NN VM
NN QC I-TIME VM SYM
VM SYM B-PERSON JJ NN
NN NN B-NUM PSP NN
NN PSP B-PERSON NN PSP
SYM NST B-NUM NNP NN
NST NN B-PERSON NN NN
NN VM B-NUM NN VM
SYM PRP B-PERSON NST NN
SYM VM B-PERSON DEM NN
VM SYM B-NUM NN NST
NN NST B-PERSON NN VM
VM SYM B-PERSON NN NN
NN NST B-PERSON VM VM
VM SYM B-PERSON NN NN
NN NN B-PERSON NN VM
NN PSP B-PERSON QC NN
PSP NNP B-NUM NN RP
RP VM B-NUM NN PSP
PSP NN B-NUM NN VM
SYM RP B-PERSON QC NN
RP NNP B-NUM NN PSP
NN PSP B-NUM NN PSP
VM SYM B-PERSON PSP JJ
NN VM B-PERSON QC NNP
VM NNP B-YEAR NNP NN
NNP QC B-LOC NN NN
NN NN B-PERSON SYM NNP
NNP SYM B-LOC SYM NN
VM SYM B-LOC NN NNP
NNP NN B-PERSON PSP NNP
NNP PSP B-PERSON NN NN
VM SYM B-LOC NN JJ
DEM NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NST
NST JJ B-LOC NN VM
NN NST B-LOC NNP NST
NST NNP I-LOC NST NN
INTF NN B-PERSON NN SYM
NN NNP B-NUM SYM VM
NN SYM B-NUM VM JJ
VM SYM B-PERSON NNP NN
SYM NNP B-LOC NN SYM
SYM NN B-PERSON NNP PSP
NN NNP I-PERSON PSP NNP
NNP PSP B-PERSON VM SYM
NN PSP B-ORG NN NN
PSP NNP I-ORG NN VM
NNP NN I-ORG VM VM
VM NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NNP
NNP SYM B-PERSON NN NN
NN SYM B-LOC NN NN
NN SYM B-LOC NN SYM
JJ NN B-PERSON NN PRP
SYM NST B-PERSON SYM NST
SYM NST B-PERSON NNP PRP
NST NNP I-PERSON PRP NN
DEM NN B-NUM NNP NNP
NNP NNP B-PERSON NN NN
VM SYM B-PERSON PRP NN
VM SYM B-PERSON JJ NN
NNP NN B-PERSON NNP NN
NN NNP B-LOC NN NN
PRP NN B-PERSON NNP NNP
NN NNP I-PERSON NNP JJ
NNP NNP I-PERSON JJ NN
RB VM B-PERSON VM PRP
NN UT B-PERSON NNP VM
UT NNP I-PERSON VM SYM
VM SYM B-PERSON UT SYM
NN NN B-PERSON NNP NNP
NN NNP B-PERSON NNP SYM
NNP NNP I-PERSON SYM NN
SYM NN B-PERSON NNP NN
NN NNP I-PERSON NN VM
NN VM B-PERSON NN NN
NST PSP B-PERSON NN VM
RB VM B-PERSON SYM NN
SYM NN B-LOC NN VM
NN JJ B-NUM NN VM
VM SYM B-PERSON NN VM
NN NN B-PERSON SYM PRP
VM NNP B-PERSON SYM PRP
SYM RB B-PERSON NNP NN
RB NNP I-PERSON NN VM
NN VM B-PERIOD VM SYM
VM QC I-PERIOD SYM WQ
DEM NN B-PERSON NN NN
SYM JJ B-PERIOD NN VM
NN NN B-PERSON NN NN
NN NN B-PERSON NNP NN
NN NNP I-PERSON NN NNP
NNP NN B-PERSON NN NN
SYM NN B-PERIOD NN NN
NN QC I-PERIOD NN NST
NN NST B-YEAR QC NN
NST QC B-YEAR NN NN
NST NN B-NUM NN NN
NN QC I-NUM NN VM
NN VM B-PERSON NN NN
NN VM B-PERIOD NN NN
VM QC I-PERIOD NN NN
NN DEM B-PERIOD NN NN
DEM NN B-DATE NN NN
NN NN B-DATE NN QC
NN NN B-NUM NN NN
NN QC I-NUM NN NN
VM SYM B-YEAR QC QO
SYM QC B-YEAR QO NN
QC QC B-NUM NN NST
NN VM B-PERIOD NN NN
VM QC I-PERIOD NN NNP
NN NN B-PERSON NN QC
NNP NN B-MONEY QC QC
NN QC I-MONEY QC NN
QC QC I-MONEY NN NN
QC QC I-MONEY NN RP
NN NN B-LOC NN NN
RB NN B-PERIOD NN NN
NN QC I-PERIOD NN QC
NN NN B-MONEY QC QC
NN QC I-MONEY QC NN
QC QC I-MONEY NN NNP
QC QC I-MONEY NNP NN
QC NN B-LOC NN SYM
VM SYM B-DATE NN NN
SYM NN B-DATE NN QC
NN NN B-NUM NN NN
NN QC I-NUM NN NN
NN RB B-NUM NN NN
RB QC I-NUM NN VM
NN NN B-NUM NN SYM
NN QC I-NUM SYM NN
SYM NN B-NUM NN SYM
NN QC I-NUM SYM NN
NN NN B-NUM NN SYM
NN QC I-NUM SYM NN
NN NN B-NUM NN SYM
NN QC I-NUM SYM NN
NN NN B-NUM NN SYM
NN QC I-NUM SYM NNP
NN NN B-NUM NN SYM
